Subsystem	 Size 1 	 Size 1 Std. Err.	 Size 2 	 Size 2 Std. Err.	 Size 3 	 Size 3 Std. Err.	 Size 4 	 Size 4 Std. Err.	 Size 5 	 Size 5 Std. Err.	 Size 6 	 Size 6 Std. Err.	 Size 7 	 Size 7 Std. Err.	 Size 8 	 Size 8 Std. Err.	 Size 9 	 Size 9 Std. Err.	 Size 10 	 Size 10 Std. Err.
1	 0.940 	 0.005 	 1.68 	 0.02 	 2.28 	 0.03 	 2.40 	 0.04 	 2.76 	 0.06 	 2.46 	 0.08 	 2.4 	 0.1 	 2.1 	 0.1 	 1.6 	 0.1 	 0.5 	 0.1 
2	 0.938 	 0.004 	 1.81 	 0.01 	 2.36 	 0.02 	 3.03 	 0.04 	 2.85 	 0.06 	 3.2 	 0.1 	 2.5 	 0.1 	 2.3 	 0.1 	 1.4 	 0.1  	 	 
3	 0.928 	 0.005 	 1.878 	 0.009 	 2.60 	 0.02 	 3.02 	 0.05 	 3.17 	 0.07 	 3.4 	 0.1 	 2.4 	 0.1 	 2.2 	 0.1 	 1.2 	 0.1  	 	 
4	 0.999 	 0.002 	 1.894 	 0.009 	 2.59 	 0.02 	 3.17 	 0.04 	 3.13 	 0.07 	 2.97 	 0.09 	 2.4 	 0.1 	 2.3 	 0.1 	 1.4 	 0.1  	 	 
5	 0.992 	 0.002 	 1.912 	 0.009 	 2.62 	 0.02 	 3.04 	 0.05 	 2.84 	 0.06 	 2.93 	 0.09 	 3.2 	 0.2 	 2.0 	 0.1 	 1.4 	 0.1  	 	 
6	 0.995 	 0.002 	 1.916 	 0.008 	 2.56 	 0.02 	 2.96 	 0.04 	 2.76 	 0.06 	 3.1 	 0.1 	 3.2 	 0.2 	 1.8 	 0.1 	 1.5 	 0.1  	 	 
7	 0.994 	 0.002 	 1.85 	 0.01 	 2.43 	 0.03 	 2.85 	 0.05 	 3.08 	 0.08 	 3.2 	 0.1 	 3.0 	 0.1 	 2.8 	 0.2 	 1.3 	 0.1  	 	 
8	 0.956 	 0.004 	 1.84 	 0.01 	 2.43 	 0.03 	 2.94 	 0.04 	 3.56 	 0.09 	 3.1 	 0.1 	 3.3 	 0.2 	 2.4 	 0.2 	 1.6 	 0.1  	 	 
9	 0.957 	 0.004 	 1.78 	 0.01 	 2.18 	 0.03 	 3.06 	 0.04 	 3.48 	 0.08 	 2.85 	 0.09 	 2.8 	 0.1 	 2.4 	 0.1 	 1.3 	 0.1  	 	 
10	 0.958 	 0.004 	 1.73 	 0.01 	 2.70 	 0.02 	 3.22 	 0.05 	 3.55 	 0.08 	 3.5 	 0.1 	 2.5 	 0.1 	 2.1 	 0.1 	 1.2 	 0.1  	 	 
