# Unitary 	 Sx 	 Sy 	 Sz
1 	 -0.3 	 0.3 	 0.3
2 	 0.4 	 -0.1 	 -0.3
3 	 -0.1 	 -0.2 	 0.4
4 	 0.2 	 0.1 	 -0.6
5 	 0.3 	 0.1 	 -0.1
6 	 -0.0 	 -0.4 	 0.1
7 	 0.2 	 -0.4 	 -0.1
8 	 -0.1 	 0.3 	 0.4
9 	 -0.3 	 0.3 	 0.3
10 	 -0.2 	 0.4 	 0.4
11 	 -0.2 	 -0.2 	 0.2
12 	 -0.3 	 -0.2 	 0.4
13 	 0.4 	 -0.1 	 -0.3
14 	 -0.5 	 0.1 	 0.2
15 	 0.1 	 -0.5 	 -0.1
16 	 0.1 	 -0.0 	 0.5
17 	 0.4 	 -0.2 	 0.1
18 	 -0.1 	 0.3 	 -0.3
19 	 -0.2 	 0.3 	 0.2
20 	 0.4 	 -0.5 	 0.1
21 	 -0.2 	 -0.4 	 0.1
22 	 0.5 	 -0.1 	 -0.1
23 	 -0.1 	 0.4 	 -0.1
24 	 -0.1 	 -0.4 	 -0.3
25 	 0.3 	 -0.1 	 0.5
26 	 0.0 	 0.5 	 -0.1
27 	 -0.3 	 -0.4 	 -0.1
28 	 -0.1 	 0.1 	 -0.4
29 	 0.4 	 -0.5 	 0.1
30 	 0.0 	 0.3 	 -0.5
31 	 -0.4 	 0.1 	 -0.1
32 	 -0.1 	 0.4 	 0.4
33 	 0.3 	 0.1 	 -0.2
34 	 -0.0 	 0.3 	 0.4
35 	 0.0 	 0.5 	 0.2
36 	 -0.1 	 0.1 	 0.5
37 	 -0.3 	 0.1 	 0.4
38 	 -0.5 	 -0.1 	 0.1
39 	 0.3 	 0.3 	 -0.2
40 	 -0.1 	 -0.3 	 -0.3
41 	 -0.3 	 -0.3 	 0.4
42 	 0.3 	 0.4 	 0.2
43 	 0.0 	 0.4 	 -0.3
44 	 -0.3 	 0.4 	 -0.2
45 	 0.3 	 0.1 	 -0.5
46 	 0.2 	 0.2 	 -0.4
47 	 0.4 	 0.3 	 -0.1
48 	 -0.2 	 -0.0 	 0.5
49 	 -0.1 	 -0.5 	 0.3
50 	 0.1 	 -0.1 	 -0.5
51 	 0.2 	 0.6 	 -0.2
52 	 -0.4 	 -0.2 	 0.3
53 	 -0.5 	 0.1 	 -0.1
54 	 -0.2 	 -0.5 	 0.3
55 	 0.1 	 0.2 	 -0.4
56 	 0.5 	 0.4 	 -0.5
57 	 -0.4 	 0.3 	 0.2
58 	 -0.3 	 0.4 	 -0.2
59 	 -0.2 	 -0.2 	 0.6
60 	 0.1 	 -0.3 	 0.5
61 	 -0.4 	 -0.5 	 -0.1
62 	 0.2 	 -0.4 	 0.3
63 	 -0.0 	 0.3 	 -0.3
64 	 0.3 	 0.1 	 0.5
65 	 -0.3 	 0.1 	 0.4
66 	 0.3 	 0.4 	 0.2
67 	 -0.0 	 0.3 	 0.3
68 	 -0.4 	 0.1 	 0.0
69 	 -0.0 	 -0.1 	 -0.5
70 	 -0.1 	 0.5 	 -0.2
71 	 0.2 	 -0.3 	 -0.3
72 	 -0.3 	 0.3 	 0.1
73 	 0.3 	 0.1 	 -0.5
74 	 -0.3 	 -0.1 	 -0.3
75 	 0.5 	 -0.2 	 0.2
76 	 0.2 	 0.2 	 0.4
77 	 0.1 	 -0.4 	 -0.3
78 	 0.4 	 0.2 	 0.1
79 	 -0.1 	 -0.5 	 -0.2
80 	 -0.1 	 -0.1 	 -0.4
81 	 -0.1 	 -0.5 	 0.3
82 	 0.5 	 0.1 	 -0.1
83 	 -0.3 	 0.2 	 0.4
84 	 0.4 	 0.1 	 -0.1
85 	 0.3 	 -0.2 	 0.5
86 	 0.1 	 -0.4 	 -0.4
87 	 -0.1 	 -0.5 	 0.1
88 	 -0.5 	 -0.2 	 0.1
89 	 0.1 	 0.5 	 -0.4
90 	 -0.5 	 -0.2 	 0.3
91 	 -0.2 	 -0.1 	 0.5
92 	 -0.0 	 0.7 	 0.0
93 	 0.3 	 -0.4 	 -0.1
94 	 0.3 	 0.3 	 -0.4
95 	 0.4 	 -0.1 	 -0.0
96 	 -0.0 	 0.0 	 -0.5
97 	 0.5 	 -0.3 	 -0.2
98 	 0.3 	 -0.1 	 0.5
99 	 -0.3 	 -0.3 	 0.0
100 	 -0.3 	 -0.1 	 0.6
