# Unitary 	 Sx 	 Sy 	 Sz
1 	 0.0 	 -0.5 	 0.8
2 	 -0.5 	 -0.3 	 0.7
3 	 -0.2 	 0.8 	 -0.4
4 	 -0.8 	 0.6 	 0.1
5 	 -0.7 	 0.1 	 -0.8
6 	 -0.7 	 0.1 	 0.7
7 	 0.8 	 0.6 	 0.5
8 	 -0.5 	 -0.8 	 0.4
9 	 0.4 	 -0.4 	 0.9
10 	 -0.4 	 1.0 	 -0.1
11 	 0.0 	 -0.5 	 -0.8
12 	 0.7 	 -0.6 	 0.3
13 	 0.8 	 0.2 	 -0.5
14 	 0.6 	 0.8 	 0.1
15 	 -0.6 	 0.8 	 0.2
16 	 0.9 	 -0.2 	 0.0
17 	 -0.8 	 0.7 	 0.2
18 	 -0.6 	 0.7 	 -0.4
19 	 -0.5 	 -0.4 	 0.7
20 	 0.4 	 -0.2 	 1.0
21 	 0.1 	 -0.1 	 1.0
22 	 -0.5 	 -0.5 	 0.6
23 	 -0.5 	 -0.8 	 -0.3
24 	 -1.0 	 -0.1 	 -0.3
25 	 -0.8 	 0.1 	 -0.7
26 	 -0.5 	 -0.1 	 0.8
27 	 0.6 	 -0.7 	 0.6
28 	 0.5 	 0.8 	 0.3
29 	 0.6 	 0.3 	 -0.7
30 	 -0.6 	 -0.8 	 0.3
31 	 -0.9 	 0.4 	 -0.1
32 	 -0.4 	 -0.9 	 -0.1
33 	 0.3 	 -0.5 	 0.8
34 	 0.2 	 -0.1 	 0.9
35 	 0.4 	 -0.8 	 -0.5
36 	 -0.5 	 0.8 	 -0.3
37 	 0.3 	 -0.8 	 -0.4
38 	 0.3 	 0.8 	 1.0
39 	 -0.2 	 -0.9 	 -0.5
40 	 0.7 	 -0.7 	 -0.1
41 	 0.6 	 -0.7 	 -0.0
42 	 0.1 	 -0.6 	 -0.6
43 	 -0.7 	 0.7 	 0.1
44 	 -0.2 	 0.9 	 0.4
45 	 -1.0 	 0.1 	 0.0
46 	 -0.7 	 0.2 	 0.5
47 	 0.3 	 0.2 	 -0.8
48 	 1.0 	 0.5 	 0.1
49 	 0.4 	 -0.7 	 0.4
50 	 0.4 	 -0.8 	 0.4
51 	 -0.9 	 0.2 	 -0.1
52 	 -0.2 	 0.5 	 0.7
53 	 0.3 	 0.3 	 0.8
54 	 0.7 	 -0.8 	 0.3
55 	 0.6 	 0.2 	 0.8
56 	 0.7 	 0.7 	 0.2
57 	 0.9 	 -0.5 	 0.1
58 	 -0.1 	 -0.5 	 -0.8
59 	 0.0 	 -0.7 	 -0.7
60 	 0.9 	 0.4 	 -0.0
61 	 0.5 	 -0.8 	 -0.4
62 	 -0.9 	 -0.1 	 0.1
63 	 -0.5 	 0.3 	 -0.8
64 	 -0.7 	 -0.1 	 0.6
65 	 -0.1 	 0.7 	 -0.7
66 	 -0.2 	 -0.8 	 0.6
67 	 0.9 	 0.1 	 0.5
68 	 -0.6 	 -0.5 	 -0.7
69 	 0.1 	 -0.9 	 0.5
70 	 -0.8 	 0.3 	 0.6
71 	 0.5 	 -0.8 	 0.2
72 	 -0.4 	 0.6 	 0.8
73 	 -0.2 	 1.0 	 0.1
74 	 -0.3 	 0.6 	 0.8
75 	 -0.1 	 -0.3 	 0.9
76 	 -0.2 	 0.4 	 0.9
77 	 0.6 	 -0.7 	 -0.0
78 	 -0.7 	 0.3 	 0.5
79 	 0.9 	 0.3 	 0.5
80 	 0.1 	 -0.9 	 0.3
81 	 -0.2 	 0.6 	 0.7
82 	 -0.3 	 -0.4 	 0.8
83 	 -0.8 	 0.5 	 -0.5
84 	 -0.4 	 -0.4 	 0.6
85 	 -0.4 	 0.2 	 0.9
86 	 0.7 	 0.7 	 0.4
87 	 -0.6 	 0.1 	 -0.8
88 	 -0.2 	 -0.9 	 0.1
89 	 0.4 	 0.9 	 0.5
90 	 0.1 	 -0.0 	 -1.0
91 	 -0.3 	 -0.9 	 -0.4
92 	 0.0 	 -0.7 	 -0.8
93 	 0.4 	 0.8 	 0.0
94 	 -0.2 	 -1.0 	 -0.3
95 	 0.7 	 -0.4 	 0.5
96 	 -0.3 	 0.3 	 -0.9
97 	 -0.1 	 -0.9 	 0.2
98 	 0.2 	 -1.0 	 -0.3
99 	 0.6 	 0.6 	 0.7
100 	 0.3 	 0.8 	 0.6
